Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
442	two-year college	male	Somalia	escape persecution	waiter	1-2 years	will look for work	six months with family	used interpreter
443	high school	female	France	reunite with family	construction worker	5+ years	will look for work	never	used interpreter
444	graduate degree	male	Iraq	escape persecution	teacher	1-2 years	will look for work	once as tourist	broken English
445	4th grade	female	Germany	reunite with family	teacher	5+ years	interviews with employer	six months with family	tried English but unable
446	graduate degree	male	Somalia	seek better job	research scientist	1-2 years	will look for work	once as tourist	fluent English
447	8th grade	female	Poland	reunite with family	janitor	5+ years	interviews with employer	never	fluent English
448	8th grade	male	China	escape persecution	gardener	none	no plans to look for work	once w/o authorization	used interpreter
449	college degree	male	India	reunite with family	construction worker	5+ years	will look for work	once w/o authorization	broken English
450	graduate degree	female	Poland	seek better job	research scientist	1-2 years	contract with employer	once as tourist	used interpreter
451	graduate degree	male	France	seek better job	janitor	3-5 years	contract with employer	never	used interpreter
452	4th grade	male	Mexico	seek better job	teacher	none	no plans to look for work	many times as tourist	tried English but unable
453	8th grade	male	Somalia	seek better job	gardener	none	no plans to look for work	once as tourist	used interpreter
454	8th grade	male	Somalia	escape persecution	construction worker	1-2 years	interviews with employer	many times as tourist	broken English
455	graduate degree	female	France	seek better job	gardener	3-5 years	interviews with employer	six months with family	used interpreter
456	4th grade	male	China	seek better job	teacher	3-5 years	interviews with employer	once as tourist	broken English
457	no formal	female	Somalia	reunite with family	child care provider	5+ years	interviews with employer	once as tourist	tried English but unable
458	8th grade	female	China	escape persecution	construction worker	none	no plans to look for work	once as tourist	tried English but unable
459	8th grade	male	France	reunite with family	janitor	1-2 years	contract with employer	once w/o authorization	fluent English
460	graduate degree	male	Philippines	seek better job	teacher	1-2 years	no plans to look for work	once w/o authorization	fluent English
461	college degree	female	Poland	seek better job	child care provider	none	interviews with employer	once as tourist	used interpreter
462	no formal	male	Somalia	seek better job	teacher	3-5 years	will look for work	never	broken English
463	graduate degree	female	Philippines	reunite with family	construction worker	3-5 years	no plans to look for work	once w/o authorization	fluent English
464	8th grade	male	China	escape persecution	child care provider	1-2 years	interviews with employer	many times as tourist	used interpreter
465	8th grade	female	India	seek better job	construction worker	3-5 years	will look for work	many times as tourist	broken English
466	no formal	male	Germany	reunite with family	child care provider	1-2 years	contract with employer	six months with family	tried English but unable
467	graduate degree	female	Sudan	seek better job	financial analyst	none	will look for work	six months with family	fluent English
468	no formal	female	India	reunite with family	waiter	1-2 years	contract with employer	once w/o authorization	fluent English
469	college degree	female	Poland	seek better job	computer programmer	none	no plans to look for work	once as tourist	fluent English
470	8th grade	female	Sudan	escape persecution	gardener	none	will look for work	six months with family	used interpreter
471	high school	male	Germany	reunite with family	janitor	5+ years	will look for work	never	fluent English
472	high school	male	China	escape persecution	gardener	none	interviews with employer	six months with family	tried English but unable
473	graduate degree	male	Somalia	reunite with family	teacher	none	contract with employer	many times as tourist	used interpreter
474	graduate degree	female	Somalia	reunite with family	doctor	none	contract with employer	never	broken English
475	college degree	male	Iraq	escape persecution	teacher	5+ years	will look for work	many times as tourist	broken English
476	graduate degree	male	Poland	seek better job	teacher	none	no plans to look for work	once as tourist	used interpreter
477	high school	male	France	seek better job	janitor	5+ years	contract with employer	never	used interpreter
478	8th grade	female	Germany	reunite with family	waiter	5+ years	interviews with employer	many times as tourist	broken English
479	two-year college	male	Somalia	reunite with family	construction worker	5+ years	will look for work	never	fluent English
480	no formal	female	Mexico	seek better job	waiter	none	interviews with employer	six months with family	used interpreter
481	4th grade	female	India	reunite with family	nurse	none	will look for work	many times as tourist	broken English
482	college degree	male	France	reunite with family	teacher	3-5 years	will look for work	six months with family	fluent English
483	no formal	female	India	seek better job	nurse	3-5 years	no plans to look for work	never	fluent English
484	8th grade	male	Sudan	seek better job	gardener	5+ years	contract with employer	once as tourist	broken English
485	two-year college	female	Somalia	seek better job	financial analyst	none	will look for work	once w/o authorization	used interpreter
486	two-year college	female	Germany	seek better job	research scientist	5+ years	no plans to look for work	six months with family	tried English but unable
487	high school	male	Sudan	reunite with family	gardener	none	will look for work	six months with family	fluent English
488	college degree	female	China	reunite with family	construction worker	5+ years	contract with employer	six months with family	fluent English
489	no formal	male	India	seek better job	nurse	5+ years	contract with employer	once w/o authorization	tried English but unable
490	graduate degree	female	Sudan	reunite with family	computer programmer	1-2 years	will look for work	many times as tourist	used interpreter
491	4th grade	female	India	seek better job	teacher	none	contract with employer	never	fluent English
492	4th grade	male	China	seek better job	teacher	5+ years	no plans to look for work	never	tried English but unable
493	4th grade	male	Poland	seek better job	teacher	1-2 years	no plans to look for work	once w/o authorization	used interpreter
494	8th grade	male	Somalia	seek better job	gardener	none	interviews with employer	six months with family	tried English but unable
495	graduate degree	female	Poland	reunite with family	janitor	1-2 years	interviews with employer	never	tried English but unable
496	college degree	male	India	reunite with family	computer programmer	3-5 years	contract with employer	six months with family	tried English but unable
497	graduate degree	male	Somalia	seek better job	gardener	5+ years	no plans to look for work	never	fluent English
498	8th grade	male	India	seek better job	construction worker	3-5 years	contract with employer	once as tourist	fluent English
499	high school	female	Somalia	seek better job	construction worker	1-2 years	no plans to look for work	once as tourist	fluent English
500	high school	female	India	reunite with family	waiter	5+ years	interviews with employer	six months with family	used interpreter
501	no formal	male	Poland	seek better job	construction worker	3-5 years	contract with employer	many times as tourist	used interpreter
502	graduate degree	female	Sudan	escape persecution	financial analyst	none	contract with employer	never	used interpreter
503	college degree	female	India	reunite with family	construction worker	3-5 years	interviews with employer	once w/o authorization	used interpreter
504	college degree	male	Sudan	escape persecution	nurse	1-2 years	contract with employer	once w/o authorization	tried English but unable
505	8th grade	male	Mexico	seek better job	waiter	none	interviews with employer	never	used interpreter
506	graduate degree	female	Mexico	reunite with family	doctor	1-2 years	will look for work	once as tourist	used interpreter
507	4th grade	female	France	reunite with family	janitor	5+ years	interviews with employer	many times as tourist	fluent English
508	high school	male	Germany	seek better job	gardener	1-2 years	will look for work	six months with family	tried English but unable
509	college degree	male	Poland	seek better job	janitor	3-5 years	will look for work	six months with family	tried English but unable
510	8th grade	female	India	reunite with family	waiter	1-2 years	will look for work	once as tourist	used interpreter
511	no formal	male	India	reunite with family	construction worker	5+ years	interviews with employer	once w/o authorization	used interpreter
512	8th grade	male	Iraq	seek better job	waiter	3-5 years	contract with employer	many times as tourist	tried English but unable
513	college degree	male	France	reunite with family	gardener	none	will look for work	many times as tourist	fluent English
514	two-year college	male	China	escape persecution	child care provider	1-2 years	will look for work	once w/o authorization	fluent English
515	no formal	female	China	reunite with family	waiter	3-5 years	no plans to look for work	once w/o authorization	used interpreter
516	8th grade	female	Iraq	reunite with family	teacher	none	contract with employer	six months with family	tried English but unable
517	4th grade	male	Sudan	escape persecution	janitor	none	no plans to look for work	six months with family	used interpreter
518	8th grade	male	Philippines	seek better job	janitor	5+ years	will look for work	six months with family	fluent English
519	graduate degree	female	Sudan	seek better job	nurse	5+ years	contract with employer	six months with family	used interpreter
520	graduate degree	female	France	seek better job	teacher	3-5 years	will look for work	many times as tourist	broken English
521	4th grade	male	Poland	seek better job	janitor	3-5 years	contract with employer	never	fluent English
522	8th grade	male	Mexico	reunite with family	nurse	none	no plans to look for work	once w/o authorization	used interpreter
523	graduate degree	female	Sudan	seek better job	teacher	1-2 years	contract with employer	never	broken English
524	two-year college	female	Germany	reunite with family	doctor	1-2 years	contract with employer	once w/o authorization	used interpreter
525	college degree	male	India	reunite with family	financial analyst	none	no plans to look for work	never	used interpreter
526	4th grade	male	Poland	reunite with family	gardener	none	interviews with employer	six months with family	broken English
527	two-year college	female	Iraq	seek better job	research scientist	1-2 years	interviews with employer	six months with family	fluent English
528	4th grade	female	Germany	seek better job	construction worker	none	contract with employer	once w/o authorization	tried English but unable
529	high school	female	France	reunite with family	construction worker	none	interviews with employer	many times as tourist	fluent English
530	two-year college	male	Iraq	seek better job	gardener	3-5 years	no plans to look for work	never	broken English
531	graduate degree	male	China	escape persecution	research scientist	none	contract with employer	many times as tourist	tried English but unable
532	4th grade	male	Iraq	escape persecution	gardener	5+ years	contract with employer	six months with family	used interpreter
533	4th grade	female	Sudan	reunite with family	nurse	none	will look for work	never	broken English
534	4th grade	female	Philippines	seek better job	construction worker	3-5 years	will look for work	once w/o authorization	fluent English
535	no formal	male	Iraq	seek better job	child care provider	3-5 years	contract with employer	never	fluent English
536	high school	female	Germany	reunite with family	waiter	5+ years	interviews with employer	many times as tourist	fluent English
537	no formal	female	France	seek better job	teacher	5+ years	contract with employer	once w/o authorization	used interpreter
538	8th grade	male	Poland	reunite with family	nurse	3-5 years	interviews with employer	once as tourist	used interpreter
539	4th grade	male	France	seek better job	janitor	1-2 years	interviews with employer	never	used interpreter
540	8th grade	female	Poland	reunite with family	gardener	none	contract with employer	once as tourist	fluent English
541	no formal	male	Iraq	reunite with family	nurse	none	interviews with employer	never	tried English but unable
542	graduate degree	male	Iraq	reunite with family	janitor	3-5 years	interviews with employer	once w/o authorization	broken English
543	college degree	female	Sudan	escape persecution	child care provider	none	no plans to look for work	once as tourist	fluent English
544	4th grade	female	Sudan	reunite with family	teacher	5+ years	will look for work	once w/o authorization	tried English but unable
545	4th grade	male	Somalia	escape persecution	gardener	none	no plans to look for work	six months with family	fluent English
546	no formal	female	India	seek better job	gardener	3-5 years	no plans to look for work	once as tourist	tried English but unable
547	no formal	female	France	reunite with family	nurse	none	no plans to look for work	once as tourist	broken English
548	no formal	female	Iraq	seek better job	teacher	3-5 years	will look for work	many times as tourist	tried English but unable
549	no formal	male	Poland	seek better job	construction worker	3-5 years	interviews with employer	many times as tourist	tried English but unable
550	high school	female	Mexico	reunite with family	nurse	none	interviews with employer	six months with family	fluent English
551	college degree	female	Iraq	reunite with family	child care provider	none	contract with employer	many times as tourist	fluent English
552	two-year college	male	Poland	reunite with family	research scientist	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
553	high school	female	Philippines	seek better job	construction worker	1-2 years	contract with employer	six months with family	used interpreter
554	graduate degree	male	Somalia	escape persecution	gardener	1-2 years	contract with employer	once w/o authorization	broken English
555	high school	female	India	reunite with family	teacher	1-2 years	contract with employer	six months with family	used interpreter
556	college degree	female	Philippines	seek better job	research scientist	none	no plans to look for work	six months with family	used interpreter
557	4th grade	male	France	seek better job	waiter	1-2 years	interviews with employer	once as tourist	used interpreter
558	4th grade	female	France	reunite with family	construction worker	1-2 years	no plans to look for work	many times as tourist	fluent English
559	two-year college	female	Philippines	seek better job	janitor	none	interviews with employer	many times as tourist	used interpreter
560	high school	male	Somalia	escape persecution	child care provider	1-2 years	interviews with employer	once as tourist	broken English
561	graduate degree	female	Poland	seek better job	financial analyst	none	will look for work	six months with family	tried English but unable
562	no formal	female	India	seek better job	janitor	none	interviews with employer	many times as tourist	used interpreter
563	8th grade	male	Poland	reunite with family	janitor	none	no plans to look for work	once w/o authorization	tried English but unable
564	4th grade	male	China	seek better job	nurse	3-5 years	will look for work	six months with family	broken English
565	4th grade	male	India	reunite with family	child care provider	3-5 years	contract with employer	once as tourist	broken English
566	two-year college	male	India	reunite with family	teacher	none	interviews with employer	once w/o authorization	broken English
567	high school	female	Philippines	seek better job	construction worker	none	contract with employer	many times as tourist	used interpreter
568	8th grade	female	Poland	seek better job	nurse	5+ years	contract with employer	six months with family	broken English
569	graduate degree	female	Germany	seek better job	financial analyst	1-2 years	contract with employer	never	broken English
570	college degree	male	Iraq	seek better job	doctor	1-2 years	no plans to look for work	once as tourist	tried English but unable
571	graduate degree	female	Poland	reunite with family	construction worker	5+ years	no plans to look for work	once w/o authorization	used interpreter
572	no formal	female	Mexico	reunite with family	child care provider	1-2 years	will look for work	once w/o authorization	fluent English
573	4th grade	male	China	reunite with family	child care provider	5+ years	interviews with employer	never	used interpreter
574	8th grade	female	Sudan	escape persecution	waiter	3-5 years	no plans to look for work	never	broken English
575	graduate degree	female	Somalia	escape persecution	doctor	none	will look for work	six months with family	broken English
576	high school	female	Poland	seek better job	gardener	3-5 years	interviews with employer	six months with family	used interpreter
577	graduate degree	male	Somalia	escape persecution	janitor	5+ years	no plans to look for work	six months with family	tried English but unable
578	8th grade	female	Sudan	escape persecution	child care provider	3-5 years	interviews with employer	once as tourist	used interpreter
579	high school	female	Sudan	escape persecution	gardener	3-5 years	will look for work	never	used interpreter
580	no formal	male	Iraq	escape persecution	teacher	3-5 years	no plans to look for work	never	tried English but unable
581	college degree	male	France	seek better job	computer programmer	5+ years	contract with employer	never	used interpreter
582	two-year college	male	Somalia	seek better job	nurse	3-5 years	interviews with employer	many times as tourist	broken English
583	no formal	male	Mexico	seek better job	construction worker	5+ years	interviews with employer	once w/o authorization	fluent English
584	college degree	female	Philippines	seek better job	financial analyst	5+ years	will look for work	six months with family	fluent English
585	8th grade	male	Germany	reunite with family	gardener	5+ years	contract with employer	many times as tourist	broken English
586	4th grade	female	France	seek better job	child care provider	none	no plans to look for work	six months with family	tried English but unable
587	graduate degree	male	Sudan	seek better job	construction worker	none	contract with employer	once as tourist	used interpreter
588	8th grade	female	France	seek better job	teacher	3-5 years	no plans to look for work	six months with family	broken English
589	4th grade	female	Iraq	reunite with family	child care provider	3-5 years	contract with employer	many times as tourist	broken English
590	two-year college	male	India	seek better job	doctor	5+ years	no plans to look for work	many times as tourist	used interpreter
591	8th grade	female	China	escape persecution	teacher	1-2 years	contract with employer	once w/o authorization	broken English
592	8th grade	male	Somalia	reunite with family	janitor	5+ years	contract with employer	never	fluent English
593	graduate degree	male	Philippines	seek better job	janitor	1-2 years	will look for work	once w/o authorization	tried English but unable
594	no formal	female	Germany	reunite with family	construction worker	1-2 years	contract with employer	never	fluent English
595	8th grade	male	Germany	reunite with family	teacher	1-2 years	interviews with employer	many times as tourist	tried English but unable
596	high school	female	France	reunite with family	nurse	none	no plans to look for work	once w/o authorization	fluent English
597	college degree	male	France	seek better job	financial analyst	1-2 years	no plans to look for work	many times as tourist	fluent English
598	college degree	female	Mexico	seek better job	computer programmer	none	no plans to look for work	once w/o authorization	broken English
599	high school	female	Germany	reunite with family	nurse	5+ years	no plans to look for work	never	broken English
600	no formal	male	China	escape persecution	child care provider	3-5 years	contract with employer	once as tourist	used interpreter
601	8th grade	female	Philippines	reunite with family	nurse	1-2 years	contract with employer	six months with family	broken English
602	college degree	male	Iraq	reunite with family	waiter	5+ years	will look for work	once as tourist	tried English but unable
603	two-year college	female	Germany	reunite with family	research scientist	3-5 years	interviews with employer	never	fluent English
604	8th grade	male	Philippines	seek better job	gardener	none	contract with employer	six months with family	fluent English
605	two-year college	female	Sudan	seek better job	nurse	5+ years	will look for work	many times as tourist	used interpreter
606	8th grade	male	Mexico	seek better job	waiter	none	contract with employer	never	broken English
607	no formal	female	India	reunite with family	child care provider	1-2 years	interviews with employer	never	used interpreter
608	8th grade	female	Philippines	reunite with family	teacher	5+ years	contract with employer	six months with family	fluent English
609	no formal	male	Iraq	reunite with family	janitor	5+ years	contract with employer	never	fluent English
610	two-year college	male	China	reunite with family	research scientist	5+ years	contract with employer	never	tried English but unable
611	college degree	female	France	seek better job	nurse	3-5 years	will look for work	once as tourist	tried English but unable
612	graduate degree	female	India	reunite with family	computer programmer	3-5 years	will look for work	never	used interpreter
613	graduate degree	male	France	seek better job	nurse	5+ years	contract with employer	never	tried English but unable
614	high school	male	Mexico	seek better job	child care provider	1-2 years	contract with employer	never	used interpreter
615	no formal	female	Germany	reunite with family	nurse	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
616	8th grade	male	India	reunite with family	construction worker	1-2 years	interviews with employer	many times as tourist	broken English
617	college degree	female	Philippines	seek better job	teacher	5+ years	will look for work	once w/o authorization	used interpreter
618	graduate degree	male	Mexico	reunite with family	computer programmer	1-2 years	will look for work	many times as tourist	tried English but unable
619	graduate degree	male	China	escape persecution	teacher	3-5 years	will look for work	once w/o authorization	fluent English
620	4th grade	male	Iraq	seek better job	nurse	5+ years	contract with employer	six months with family	broken English
621	4th grade	male	Iraq	seek better job	child care provider	3-5 years	contract with employer	many times as tourist	broken English
622	8th grade	male	India	reunite with family	janitor	none	interviews with employer	once as tourist	tried English but unable
623	8th grade	male	China	reunite with family	janitor	5+ years	no plans to look for work	once as tourist	broken English
624	8th grade	male	Germany	seek better job	waiter	none	contract with employer	six months with family	tried English but unable
625	graduate degree	male	China	seek better job	construction worker	3-5 years	contract with employer	once as tourist	broken English
626	8th grade	male	India	seek better job	nurse	5+ years	interviews with employer	many times as tourist	broken English
627	no formal	male	China	escape persecution	teacher	3-5 years	interviews with employer	six months with family	tried English but unable
628	4th grade	female	Somalia	escape persecution	waiter	3-5 years	contract with employer	once as tourist	tried English but unable
629	4th grade	male	China	escape persecution	janitor	none	contract with employer	once as tourist	used interpreter
630	graduate degree	female	Germany	seek better job	computer programmer	none	interviews with employer	six months with family	fluent English
631	college degree	male	Mexico	reunite with family	gardener	3-5 years	no plans to look for work	never	tried English but unable
632	high school	male	Iraq	escape persecution	nurse	5+ years	contract with employer	once as tourist	broken English
633	high school	female	Sudan	seek better job	nurse	5+ years	will look for work	never	tried English but unable
634	two-year college	female	Sudan	escape persecution	child care provider	3-5 years	contract with employer	once w/o authorization	fluent English
635	high school	female	France	seek better job	waiter	5+ years	no plans to look for work	six months with family	tried English but unable
636	high school	female	India	reunite with family	nurse	1-2 years	interviews with employer	once w/o authorization	used interpreter
637	4th grade	male	Sudan	seek better job	child care provider	5+ years	interviews with employer	many times as tourist	broken English
638	no formal	male	Poland	seek better job	nurse	1-2 years	interviews with employer	once as tourist	broken English
639	8th grade	female	China	seek better job	child care provider	none	will look for work	six months with family	used interpreter
640	graduate degree	male	France	seek better job	doctor	3-5 years	contract with employer	many times as tourist	fluent English
641	high school	female	India	seek better job	child care provider	3-5 years	contract with employer	never	fluent English
642	4th grade	male	France	seek better job	construction worker	3-5 years	interviews with employer	never	used interpreter
643	high school	female	Philippines	reunite with family	waiter	5+ years	contract with employer	once w/o authorization	used interpreter
644	high school	male	Philippines	reunite with family	child care provider	5+ years	no plans to look for work	never	used interpreter
645	4th grade	male	Iraq	seek better job	gardener	5+ years	contract with employer	once w/o authorization	used interpreter
646	8th grade	male	France	reunite with family	child care provider	1-2 years	will look for work	never	broken English
647	graduate degree	male	Sudan	escape persecution	teacher	3-5 years	interviews with employer	once as tourist	broken English
648	college degree	male	Mexico	seek better job	financial analyst	5+ years	contract with employer	once w/o authorization	fluent English
649	college degree	male	India	seek better job	doctor	5+ years	no plans to look for work	many times as tourist	broken English
650	4th grade	male	Iraq	seek better job	janitor	1-2 years	will look for work	once w/o authorization	used interpreter
651	high school	female	Iraq	escape persecution	janitor	none	will look for work	six months with family	used interpreter
652	college degree	male	Philippines	reunite with family	computer programmer	3-5 years	interviews with employer	six months with family	used interpreter
653	graduate degree	female	Iraq	escape persecution	teacher	1-2 years	no plans to look for work	six months with family	tried English but unable
654	no formal	male	China	escape persecution	janitor	3-5 years	contract with employer	many times as tourist	used interpreter
655	graduate degree	female	Germany	reunite with family	gardener	none	interviews with employer	once w/o authorization	used interpreter
656	4th grade	female	Poland	seek better job	gardener	5+ years	will look for work	once w/o authorization	fluent English
657	no formal	female	China	seek better job	teacher	3-5 years	no plans to look for work	never	broken English
658	8th grade	male	Sudan	seek better job	janitor	3-5 years	will look for work	once w/o authorization	fluent English
659	no formal	female	Philippines	reunite with family	janitor	5+ years	interviews with employer	once w/o authorization	fluent English
660	college degree	male	China	reunite with family	computer programmer	1-2 years	contract with employer	many times as tourist	used interpreter
661	college degree	male	China	escape persecution	child care provider	1-2 years	interviews with employer	once as tourist	used interpreter
662	no formal	male	Germany	seek better job	waiter	5+ years	no plans to look for work	never	fluent English
663	two-year college	male	Sudan	reunite with family	gardener	none	interviews with employer	once w/o authorization	used interpreter
664	college degree	male	India	seek better job	teacher	5+ years	will look for work	six months with family	tried English but unable
665	two-year college	male	Philippines	seek better job	waiter	3-5 years	will look for work	many times as tourist	used interpreter
666	two-year college	female	Philippines	reunite with family	research scientist	3-5 years	will look for work	once w/o authorization	broken English
667	8th grade	male	France	reunite with family	teacher	3-5 years	contract with employer	many times as tourist	used interpreter
668	two-year college	female	Sudan	seek better job	waiter	1-2 years	interviews with employer	six months with family	fluent English
669	college degree	male	India	reunite with family	research scientist	none	interviews with employer	six months with family	broken English
670	no formal	male	Mexico	seek better job	child care provider	none	contract with employer	once w/o authorization	broken English
671	no formal	female	Iraq	escape persecution	teacher	none	no plans to look for work	six months with family	broken English
672	no formal	female	Poland	reunite with family	waiter	5+ years	no plans to look for work	six months with family	broken English
673	college degree	male	Somalia	seek better job	nurse	none	contract with employer	six months with family	tried English but unable
674	college degree	male	Somalia	seek better job	nurse	1-2 years	interviews with employer	never	tried English but unable
675	college degree	male	Sudan	escape persecution	gardener	5+ years	interviews with employer	many times as tourist	tried English but unable
676	4th grade	female	Germany	reunite with family	waiter	none	no plans to look for work	six months with family	fluent English
677	college degree	male	Sudan	escape persecution	waiter	1-2 years	no plans to look for work	once as tourist	fluent English
678	no formal	female	Poland	reunite with family	construction worker	3-5 years	interviews with employer	once as tourist	fluent English
679	high school	female	China	escape persecution	waiter	1-2 years	will look for work	six months with family	broken English
680	no formal	male	India	reunite with family	janitor	3-5 years	will look for work	six months with family	fluent English
681	two-year college	female	Sudan	escape persecution	doctor	5+ years	interviews with employer	once w/o authorization	broken English
682	8th grade	male	Sudan	reunite with family	gardener	1-2 years	will look for work	never	broken English
683	high school	male	Somalia	escape persecution	janitor	5+ years	contract with employer	many times as tourist	used interpreter
684	no formal	female	Philippines	seek better job	teacher	3-5 years	will look for work	never	fluent English
685	no formal	female	Mexico	seek better job	teacher	1-2 years	interviews with employer	never	broken English
686	college degree	female	Poland	seek better job	waiter	none	interviews with employer	six months with family	fluent English
687	no formal	male	China	reunite with family	waiter	1-2 years	interviews with employer	many times as tourist	broken English
688	college degree	female	Philippines	reunite with family	construction worker	5+ years	no plans to look for work	never	tried English but unable
689	college degree	female	Germany	reunite with family	computer programmer	none	interviews with employer	six months with family	fluent English
690	4th grade	male	Somalia	escape persecution	nurse	3-5 years	interviews with employer	six months with family	broken English
691	college degree	female	France	seek better job	teacher	5+ years	contract with employer	once as tourist	used interpreter
692	8th grade	female	China	escape persecution	waiter	3-5 years	interviews with employer	once w/o authorization	fluent English
693	no formal	female	India	seek better job	waiter	3-5 years	no plans to look for work	many times as tourist	broken English
694	two-year college	male	Mexico	seek better job	child care provider	1-2 years	will look for work	many times as tourist	fluent English
695	graduate degree	female	Germany	reunite with family	financial analyst	none	contract with employer	never	broken English
696	no formal	male	India	seek better job	construction worker	none	will look for work	six months with family	fluent English
697	8th grade	male	France	reunite with family	nurse	1-2 years	no plans to look for work	once w/o authorization	tried English but unable
698	8th grade	female	China	seek better job	waiter	3-5 years	no plans to look for work	once w/o authorization	used interpreter
699	high school	female	Philippines	seek better job	child care provider	1-2 years	will look for work	once w/o authorization	used interpreter
700	high school	female	Mexico	reunite with family	nurse	3-5 years	will look for work	once w/o authorization	fluent English
701	high school	male	Iraq	seek better job	gardener	5+ years	will look for work	never	used interpreter
702	two-year college	female	Poland	seek better job	computer programmer	1-2 years	will look for work	six months with family	broken English
703	college degree	male	Poland	reunite with family	waiter	5+ years	will look for work	once w/o authorization	broken English
704	8th grade	male	Iraq	reunite with family	janitor	none	contract with employer	once as tourist	tried English but unable
705	two-year college	female	India	reunite with family	gardener	3-5 years	interviews with employer	six months with family	used interpreter
706	two-year college	female	China	seek better job	gardener	3-5 years	contract with employer	never	fluent English
707	4th grade	male	Germany	seek better job	child care provider	1-2 years	interviews with employer	six months with family	used interpreter
708	4th grade	male	Philippines	seek better job	teacher	3-5 years	will look for work	six months with family	fluent English
709	8th grade	male	India	seek better job	child care provider	1-2 years	no plans to look for work	once as tourist	broken English
710	8th grade	female	Somalia	seek better job	child care provider	none	no plans to look for work	many times as tourist	broken English
711	graduate degree	female	Poland	reunite with family	gardener	3-5 years	will look for work	never	broken English
712	high school	female	Germany	reunite with family	janitor	3-5 years	no plans to look for work	many times as tourist	fluent English
713	high school	female	Germany	seek better job	child care provider	3-5 years	will look for work	once as tourist	broken English
714	high school	male	China	seek better job	construction worker	none	no plans to look for work	once as tourist	broken English
715	two-year college	male	Somalia	reunite with family	computer programmer	5+ years	will look for work	once w/o authorization	fluent English
716	8th grade	male	Iraq	seek better job	janitor	3-5 years	no plans to look for work	six months with family	used interpreter
717	graduate degree	female	Sudan	seek better job	computer programmer	5+ years	contract with employer	once w/o authorization	fluent English
718	high school	male	Somalia	reunite with family	teacher	3-5 years	contract with employer	six months with family	broken English
719	no formal	female	Mexico	reunite with family	child care provider	none	no plans to look for work	six months with family	broken English
720	no formal	female	Somalia	escape persecution	janitor	5+ years	contract with employer	once as tourist	broken English
721	high school	male	France	reunite with family	nurse	5+ years	will look for work	never	fluent English
722	high school	male	France	seek better job	waiter	none	will look for work	never	fluent English
723	8th grade	male	Sudan	seek better job	waiter	5+ years	interviews with employer	six months with family	fluent English
724	8th grade	male	Somalia	seek better job	gardener	1-2 years	interviews with employer	once w/o authorization	fluent English
725	8th grade	male	India	reunite with family	child care provider	3-5 years	contract with employer	many times as tourist	used interpreter
726	8th grade	female	India	reunite with family	janitor	3-5 years	interviews with employer	six months with family	used interpreter
727	high school	female	India	reunite with family	child care provider	1-2 years	no plans to look for work	once w/o authorization	broken English
728	8th grade	female	Poland	reunite with family	nurse	none	contract with employer	six months with family	tried English but unable
729	4th grade	male	Mexico	reunite with family	construction worker	1-2 years	will look for work	never	used interpreter
730	high school	male	Poland	seek better job	child care provider	1-2 years	will look for work	many times as tourist	used interpreter
731	college degree	male	Mexico	seek better job	doctor	5+ years	interviews with employer	never	used interpreter
732	college degree	female	France	seek better job	financial analyst	3-5 years	will look for work	never	tried English but unable
733	college degree	female	Germany	seek better job	child care provider	5+ years	will look for work	never	tried English but unable
734	4th grade	female	Poland	reunite with family	construction worker	3-5 years	interviews with employer	once as tourist	used interpreter
735	no formal	male	China	seek better job	nurse	1-2 years	no plans to look for work	six months with family	used interpreter
736	graduate degree	male	India	seek better job	nurse	3-5 years	will look for work	many times as tourist	used interpreter
737	college degree	male	Poland	reunite with family	janitor	1-2 years	no plans to look for work	six months with family	tried English but unable
738	no formal	male	Mexico	reunite with family	teacher	1-2 years	contract with employer	once as tourist	fluent English
739	two-year college	male	Sudan	seek better job	child care provider	1-2 years	contract with employer	once as tourist	tried English but unable
740	graduate degree	female	France	seek better job	nurse	1-2 years	contract with employer	once w/o authorization	used interpreter
741	two-year college	female	Mexico	seek better job	computer programmer	3-5 years	will look for work	never	broken English
742	college degree	male	India	reunite with family	waiter	none	interviews with employer	once w/o authorization	fluent English
743	college degree	male	China	seek better job	waiter	1-2 years	contract with employer	once w/o authorization	fluent English
744	4th grade	male	Sudan	seek better job	nurse	none	will look for work	never	broken English
745	graduate degree	male	Sudan	reunite with family	construction worker	3-5 years	will look for work	once as tourist	broken English
746	high school	female	Poland	seek better job	construction worker	none	no plans to look for work	six months with family	fluent English
747	4th grade	female	Poland	reunite with family	child care provider	5+ years	no plans to look for work	six months with family	tried English but unable
748	no formal	male	Germany	reunite with family	child care provider	none	will look for work	once as tourist	broken English
749	no formal	male	China	seek better job	waiter	3-5 years	interviews with employer	once w/o authorization	fluent English
750	high school	female	France	seek better job	janitor	3-5 years	will look for work	many times as tourist	tried English but unable
751	8th grade	female	Poland	seek better job	nurse	none	contract with employer	never	used interpreter
752	8th grade	female	Germany	reunite with family	construction worker	3-5 years	will look for work	six months with family	fluent English
753	high school	male	India	seek better job	child care provider	5+ years	will look for work	six months with family	fluent English
754	8th grade	male	Poland	reunite with family	construction worker	none	contract with employer	once w/o authorization	broken English
755	two-year college	female	France	seek better job	construction worker	none	will look for work	once as tourist	broken English
