"","CaseID","contest_no","Education","Gender","Country of Origin","Reason for Application","Job","Job Experience","Job Plans","Prior Entry","Language Skills","Chosen_Immigrant","ethnocentrism","profile","LangPos","PriorPos"
"3853",429,2,"4th grade","male","China","reunite with family","janitor","3-5 years","interviews with employer","once as tourist","used interpreter",0,13.333332,1,2,9
"3854",429,2,"college degree","male","Mexico","reunite with family","teacher","5+ years","contract with employer","once as tourist","tried English but unable",1,13.333332,2,2,9
"3855",429,3,"college degree","female","China","seek better job","computer programmer","5+ years","contract with employer","once as tourist","tried English but unable",0,13.333332,1,2,9
"3856",429,3,"8th grade","female","China","reunite with family","nurse","1-2 years","interviews with employer","many times as tourist","fluent English",1,13.333332,2,2,9
"3857",429,4,"no formal","male","China","escape persecution","teacher","5+ years","no plans to look for work","many times as tourist","used interpreter",1,13.333332,1,2,9
"3858",429,4,"8th grade","male","India","reunite with family","nurse","5+ years","contract with employer","once as tourist","broken English",0,13.333332,2,2,9
"3859",429,5,"8th grade","female","India","reunite with family","construction worker","3-5 years","contract with employer","once w/o authorization","used interpreter",0,13.333332,1,2,9
"3860",429,5,"two-year college","female","Philippines","seek better job","doctor","3-5 years","will look for work","once w/o authorization","broken English",1,13.333332,2,2,9
"3861",430,1,"no formal","male","Mexico","reunite with family","construction worker","none","no plans to look for work","once as tourist","fluent English",1,0,1,6,2
"3862",430,1,"graduate degree","male","Philippines","reunite with family","child care provider","none","will look for work","many times as tourist","tried English but unable",0,0,2,6,2
"3863",430,2,"no formal","male","India","seek better job","construction worker","1-2 years","interviews with employer","once as tourist","tried English but unable",1,0,1,6,2
"3864",430,2,"graduate degree","male","Germany","seek better job","teacher","1-2 years","no plans to look for work","once w/o authorization","broken English",0,0,2,6,2
"3865",430,3,"8th grade","male","Poland","seek better job","nurse","1-2 years","no plans to look for work","once w/o authorization","used interpreter",1,0,1,6,2
"3866",430,3,"graduate degree","female","Somalia","escape persecution","waiter","none","no plans to look for work","many times as tourist","tried English but unable",0,0,2,6,2
"3867",430,4,"no formal","male","France","reunite with family","janitor","1-2 years","interviews with employer","once w/o authorization","fluent English",1,0,1,6,2
"3868",430,4,"graduate degree","male","Germany","seek better job","research scientist","1-2 years","will look for work","once w/o authorization","fluent English",0,0,2,6,2
"3869",430,5,"no formal","female","Iraq","reunite with family","construction worker","none","interviews with employer","never","used interpreter",0,0,1,6,2
"3870",430,5,"4th grade","male","Philippines","seek better job","nurse","3-5 years","contract with employer","once w/o authorization","tried English but unable",1,0,2,6,2
"3871",431,1,"no formal","male","Germany","reunite with family","waiter","3-5 years","no plans to look for work","never","used interpreter",0,0,1,7,9
"3872",431,1,"4th grade","male","India","seek better job","janitor","none","interviews with employer","once as tourist","fluent English",1,0,2,7,9
"3873",431,2,"8th grade","female","Poland","reunite with family","construction worker","none","will look for work","once as tourist","used interpreter",0,0,1,7,9
"3874",431,2,"graduate degree","female","Somalia","escape persecution","janitor","none","will look for work","once as tourist","broken English",1,0,2,7,9
"3875",431,3,"high school","male","Germany","seek better job","child care provider","none","contract with employer","never","used interpreter",1,0,1,7,9
"3876",431,3,"4th grade","female","Mexico","seek better job","teacher","none","interviews with employer","many times as tourist","fluent English",0,0,2,7,9
"3877",431,4,"college degree","male","China","reunite with family","construction worker","3-5 years","contract with employer","once as tourist","fluent English",1,0,1,7,9
"3878",431,4,"high school","female","China","reunite with family","teacher","none","will look for work","once as tourist","tried English but unable",0,0,2,7,9
"3879",431,5,"8th grade","female","Sudan","reunite with family","gardener","1-2 years","no plans to look for work","once w/o authorization","broken English",0,0,1,7,9
"3880",431,5,"college degree","female","Poland","reunite with family","janitor","3-5 years","will look for work","once as tourist","tried English but unable",1,0,2,7,9
"3881",432,1,"high school","female","China","seek better job","janitor","5+ years","interviews with employer","once as tourist","fluent English",1,73.333336,1,5,1
"3882",432,1,"graduate degree","male","Philippines","reunite with family","waiter","none","no plans to look for work","many times as tourist","tried English but unable",0,73.333336,2,5,1
"3883",432,2,"graduate degree","male","Germany","reunite with family","waiter","none","contract with employer","six months with family","tried English but unable",0,73.333336,1,5,1
"3884",432,2,"high school","male","Germany","seek better job","teacher","1-2 years","interviews with employer","once as tourist","tried English but unable",1,73.333336,2,5,1
"3885",432,3,"college degree","male","Sudan","escape persecution","nurse","1-2 years","will look for work","once w/o authorization","used interpreter",1,73.333336,1,5,1
"3886",432,3,"4th grade","female","China","reunite with family","nurse","none","interviews with employer","never","broken English",0,73.333336,2,5,1
"3887",432,4,"college degree","male","Somalia","escape persecution","janitor","none","interviews with employer","many times as tourist","tried English but unable",1,73.333336,1,5,1
"3888",432,4,"4th grade","female","Mexico","reunite with family","construction worker","1-2 years","no plans to look for work","six months with family","used interpreter",0,73.333336,2,5,1
"3889",432,5,"two-year college","female","Somalia","reunite with family","waiter","3-5 years","no plans to look for work","many times as tourist","fluent English",1,73.333336,1,5,1
"3890",432,5,"4th grade","female","Mexico","seek better job","child care provider","5+ years","no plans to look for work","six months with family","broken English",0,73.333336,2,5,1
"3891",433,1,"8th grade","female","Somalia","escape persecution","teacher","1-2 years","will look for work","once as tourist","fluent English",0,10,1,1,3
"3892",433,1,"no formal","female","Somalia","reunite with family","nurse","1-2 years","interviews with employer","never","fluent English",1,10,2,1,3
"3893",433,2,"8th grade","male","Mexico","seek better job","child care provider","1-2 years","contract with employer","never","used interpreter",0,10,1,1,3
"3894",433,2,"two-year college","male","Philippines","reunite with family","construction worker","5+ years","will look for work","six months with family","used interpreter",1,10,2,1,3
"3895",433,3,"college degree","male","Mexico","reunite with family","teacher","1-2 years","interviews with employer","six months with family","tried English but unable",1,10,1,1,3
"3896",433,3,"two-year college","male","Philippines","reunite with family","waiter","1-2 years","no plans to look for work","once as tourist","broken English",0,10,2,1,3
"3897",433,4,"8th grade","male","Somalia","escape persecution","teacher","none","will look for work","never","tried English but unable",1,10,1,1,3
"3898",433,4,"8th grade","female","Sudan","seek better job","teacher","5+ years","will look for work","once as tourist","tried English but unable",0,10,2,1,3
"3899",433,5,"8th grade","male","China","seek better job","child care provider","3-5 years","interviews with employer","once w/o authorization","fluent English",0,10,1,1,3
"3900",433,5,"graduate degree","male","Germany","reunite with family","nurse","5+ years","will look for work","many times as tourist","fluent English",1,10,2,1,3
"3901",435,1,"8th grade","male","Philippines","reunite with family","waiter","3-5 years","will look for work","never","broken English",0,3.333332,1,6,9
"3902",435,1,"two-year college","female","France","reunite with family","gardener","none","contract with employer","once w/o authorization","used interpreter",1,3.333332,2,6,9
"3903",435,2,"college degree","female","Philippines","reunite with family","computer programmer","1-2 years","will look for work","six months with family","fluent English",1,3.333332,1,6,9
"3904",435,2,"high school","male","Iraq","reunite with family","construction worker","1-2 years","will look for work","many times as tourist","used interpreter",0,3.333332,2,6,9
"3905",435,3,"two-year college","female","Iraq","seek better job","gardener","3-5 years","contract with employer","six months with family","tried English but unable",0,3.333332,1,6,9
"3906",435,3,"graduate degree","male","Germany","reunite with family","gardener","1-2 years","will look for work","many times as tourist","used interpreter",1,3.333332,2,6,9
"3907",435,4,"two-year college","male","Philippines","seek better job","child care provider","1-2 years","contract with employer","many times as tourist","fluent English",1,3.333332,1,6,9
"3908",435,4,"college degree","female","Iraq","reunite with family","teacher","5+ years","will look for work","many times as tourist","fluent English",0,3.333332,2,6,9
"3909",435,5,"two-year college","male","India","reunite with family","janitor","3-5 years","interviews with employer","once w/o authorization","used interpreter",1,3.333332,1,6,9
"3910",435,5,"high school","male","Mexico","reunite with family","gardener","none","interviews with employer","once w/o authorization","broken English",0,3.333332,2,6,9
"3911",437,1,"8th grade","female","Germany","seek better job","child care provider","5+ years","no plans to look for work","once as tourist","tried English but unable",1,20,1,7,8
"3912",437,1,"4th grade","female","Germany","reunite with family","nurse","3-5 years","no plans to look for work","many times as tourist","used interpreter",0,20,2,7,8
"3913",437,2,"high school","male","Iraq","seek better job","teacher","1-2 years","interviews with employer","once as tourist","broken English",0,20,1,7,8
"3914",437,2,"two-year college","female","China","reunite with family","child care provider","5+ years","contract with employer","never","tried English but unable",1,20,2,7,8
"3915",437,3,"high school","male","Philippines","reunite with family","child care provider","1-2 years","contract with employer","six months with family","broken English",0,20,1,7,8
"3916",437,3,"graduate degree","female","Germany","reunite with family","research scientist","5+ years","interviews with employer","six months with family","fluent English",1,20,2,7,8
"3917",437,4,"8th grade","male","India","reunite with family","waiter","3-5 years","interviews with employer","once as tourist","tried English but unable",1,20,1,7,8
"3918",437,4,"no formal","male","Iraq","escape persecution","teacher","3-5 years","no plans to look for work","many times as tourist","used interpreter",0,20,2,7,8
"3919",437,5,"no formal","male","Mexico","seek better job","waiter","none","contract with employer","once w/o authorization","tried English but unable",0,20,1,7,8
"3920",437,5,"no formal","male","Philippines","reunite with family","nurse","1-2 years","contract with employer","six months with family","tried English but unable",1,20,2,7,8
"3921",438,1,"college degree","male","India","reunite with family","research scientist","5+ years","no plans to look for work","never","broken English",1,10,1,9,8
"3922",438,1,"two-year college","female","Philippines","reunite with family","computer programmer","1-2 years","contract with employer","once as tourist","tried English but unable",0,10,2,9,8
"3923",438,2,"8th grade","male","Germany","reunite with family","janitor","1-2 years","will look for work","many times as tourist","used interpreter",1,10,1,9,8
"3924",438,2,"no formal","female","India","seek better job","janitor","1-2 years","no plans to look for work","never","broken English",0,10,2,9,8
"3925",438,3,"two-year college","female","Iraq","escape persecution","waiter","5+ years","contract with employer","many times as tourist","tried English but unable",0,10,1,9,8
"3926",438,3,"college degree","male","Germany","seek better job","waiter","5+ years","contract with employer","never","tried English but unable",1,10,2,9,8
"3927",438,4,"graduate degree","female","Philippines","seek better job","computer programmer","3-5 years","interviews with employer","once as tourist","broken English",0,10,1,9,8
"3928",438,4,"graduate degree","male","India","reunite with family","financial analyst","3-5 years","contract with employer","six months with family","broken English",1,10,2,9,8
"3929",438,5,"college degree","female","Germany","reunite with family","janitor","5+ years","contract with employer","once as tourist","used interpreter",1,10,1,9,8
"3930",438,5,"two-year college","male","Iraq","seek better job","computer programmer","1-2 years","interviews with employer","once w/o authorization","used interpreter",0,10,2,9,8
"3931",440,1,"high school","male","India","seek better job","gardener","3-5 years","contract with employer","once as tourist","tried English but unable",1,50,1,9,6
"3932",440,1,"4th grade","male","India","seek better job","gardener","5+ years","no plans to look for work","once as tourist","used interpreter",0,50,2,9,6
"3933",440,2,"no formal","female","Germany","seek better job","janitor","1-2 years","will look for work","six months with family","broken English",1,50,1,9,6
"3934",440,2,"two-year college","male","Germany","seek better job","gardener","3-5 years","contract with employer","never","used interpreter",0,50,2,9,6
"3935",440,3,"high school","male","China","seek better job","nurse","1-2 years","no plans to look for work","once as tourist","fluent English",0,50,1,9,6
"3936",440,3,"graduate degree","female","Somalia","reunite with family","janitor","5+ years","will look for work","many times as tourist","broken English",1,50,2,9,6
"3937",440,4,"two-year college","male","Philippines","seek better job","computer programmer","1-2 years","interviews with employer","never","fluent English",1,50,1,9,6
"3938",440,4,"4th grade","male","Germany","reunite with family","waiter","1-2 years","interviews with employer","once w/o authorization","used interpreter",0,50,2,9,6
"3939",440,5,"graduate degree","female","Iraq","seek better job","computer programmer","3-5 years","no plans to look for work","never","tried English but unable",1,50,1,9,6
"3940",440,5,"graduate degree","male","Iraq","reunite with family","doctor","1-2 years","will look for work","six months with family","used interpreter",0,50,2,9,6
"3941",441,1,"no formal","male","Mexico","seek better job","child care provider","3-5 years","no plans to look for work","never","used interpreter",1,-99,1,3,7
"3942",441,1,"no formal","female","Sudan","seek better job","gardener","1-2 years","contract with employer","once w/o authorization","used interpreter",0,-99,2,3,7
"3943",441,2,"no formal","female","Poland","seek better job","waiter","1-2 years","interviews with employer","six months with family","tried English but unable",0,-99,1,3,7
"3944",441,2,"high school","male","Mexico","reunite with family","janitor","3-5 years","contract with employer","once w/o authorization","tried English but unable",1,-99,2,3,7
"3945",441,3,"4th grade","female","France","reunite with family","waiter","3-5 years","interviews with employer","many times as tourist","broken English",0,-99,1,3,7
"3946",441,3,"4th grade","male","Philippines","reunite with family","child care provider","none","contract with employer","many times as tourist","broken English",1,-99,2,3,7
"3947",441,4,"8th grade","male","Poland","seek better job","child care provider","1-2 years","interviews with employer","never","fluent English",1,-99,1,3,7
"3948",441,4,"no formal","female","China","seek better job","janitor","5+ years","interviews with employer","never","tried English but unable",0,-99,2,3,7
"3949",441,5,"no formal","male","China","escape persecution","janitor","1-2 years","will look for work","many times as tourist","tried English but unable",1,-99,1,3,7
"3950",441,5,"4th grade","female","Philippines","seek better job","child care provider","5+ years","interviews with employer","once w/o authorization","tried English but unable",0,-99,2,3,7
"3951",442,1,"no formal","male","Iraq","escape persecution","nurse","1-2 years","contract with employer","once w/o authorization","used interpreter",0,11.666664,1,8,3
"3952",442,1,"college degree","female","Sudan","escape persecution","gardener","none","interviews with employer","once as tourist","tried English but unable",1,11.666664,2,8,3
"3953",442,2,"graduate degree","female","Mexico","reunite with family","doctor","none","interviews with employer","never","used interpreter",1,11.666664,1,8,3
"3954",442,2,"graduate degree","male","India","seek better job","waiter","3-5 years","interviews with employer","many times as tourist","tried English but unable",0,11.666664,2,8,3
"3955",442,3,"two-year college","female","China","seek better job","research scientist","3-5 years","contract with employer","never","used interpreter",1,11.666664,1,8,3
"3956",442,3,"college degree","female","Germany","seek better job","nurse","none","no plans to look for work","never","used interpreter",0,11.666664,2,8,3
"3957",442,4,"graduate degree","female","India","reunite with family","computer programmer","none","contract with employer","six months with family","broken English",1,11.666664,1,8,3
"3958",442,4,"two-year college","female","China","reunite with family","child care provider","5+ years","will look for work","once as tourist","broken English",0,11.666664,2,8,3
"3959",442,5,"4th grade","female","India","reunite with family","gardener","3-5 years","no plans to look for work","many times as tourist","fluent English",1,11.666664,1,8,3
"3960",442,5,"8th grade","female","France","reunite with family","waiter","1-2 years","no plans to look for work","never","used interpreter",0,11.666664,2,8,3
"3961",443,1,"4th grade","male","China","escape persecution","janitor","5+ years","will look for work","never","used interpreter",1,0,1,3,1
"3962",443,1,"two-year college","female","Sudan","escape persecution","teacher","1-2 years","will look for work","once w/o authorization","tried English but unable",0,0,2,3,1
"3963",443,2,"graduate degree","female","France","reunite with family","gardener","1-2 years","no plans to look for work","once as tourist","fluent English",1,0,1,3,1
"3964",443,2,"high school","female","Philippines","reunite with family","nurse","none","no plans to look for work","never","tried English but unable",0,0,2,3,1
"3965",443,3,"high school","female","Somalia","escape persecution","gardener","3-5 years","will look for work","once as tourist","fluent English",1,0,1,3,1
"3966",443,3,"college degree","male","Poland","seek better job","gardener","3-5 years","no plans to look for work","many times as tourist","fluent English",0,0,2,3,1
"3967",443,4,"high school","male","Iraq","escape persecution","construction worker","3-5 years","interviews with employer","once w/o authorization","tried English but unable",1,0,1,3,1
"3968",443,4,"no formal","female","China","seek better job","janitor","none","contract with employer","once w/o authorization","broken English",0,0,2,3,1
"3969",443,5,"8th grade","female","Iraq","seek better job","construction worker","1-2 years","will look for work","six months with family","tried English but unable",0,0,1,3,1
"3970",443,5,"graduate degree","male","Philippines","reunite with family","doctor","none","will look for work","once as tourist","used interpreter",1,0,2,3,1
"3971",444,1,"4th grade","female","Mexico","reunite with family","teacher","none","contract with employer","many times as tourist","fluent English",1,6.666668,1,6,7
"3972",444,1,"4th grade","male","China","reunite with family","gardener","1-2 years","will look for work","once w/o authorization","tried English but unable",0,6.666668,2,6,7
"3973",444,2,"two-year college","female","Sudan","seek better job","computer programmer","5+ years","interviews with employer","many times as tourist","fluent English",1,6.666668,1,6,7
"3974",444,2,"8th grade","male","Iraq","seek better job","nurse","3-5 years","no plans to look for work","once w/o authorization","used interpreter",0,6.666668,2,6,7
"3975",444,3,"4th grade","male","Germany","seek better job","teacher","5+ years","contract with employer","never","used interpreter",0,6.666668,1,6,7
"3976",444,3,"high school","male","Iraq","reunite with family","construction worker","1-2 years","interviews with employer","six months with family","fluent English",1,6.666668,2,6,7
"3977",444,4,"high school","female","Mexico","reunite with family","gardener","none","will look for work","once w/o authorization","tried English but unable",0,6.666668,1,6,7
"3978",444,4,"college degree","female","Sudan","reunite with family","waiter","1-2 years","contract with employer","many times as tourist","tried English but unable",1,6.666668,2,6,7
"3979",444,5,"8th grade","female","Poland","seek better job","teacher","3-5 years","will look for work","six months with family","used interpreter",0,6.666668,1,6,7
"3980",444,5,"two-year college","female","China","seek better job","doctor","none","will look for work","never","fluent English",1,6.666668,2,6,7
"3981",446,1,"8th grade","female","France","seek better job","child care provider","5+ years","no plans to look for work","once as tourist","broken English",0,0,1,9,3
"3982",446,1,"high school","male","Somalia","seek better job","construction worker","3-5 years","interviews with employer","never","fluent English",1,0,2,9,3
"3983",446,2,"college degree","male","Mexico","seek better job","waiter","3-5 years","interviews with employer","six months with family","fluent English",1,0,1,9,3
"3984",446,2,"two-year college","female","France","seek better job","research scientist","none","contract with employer","six months with family","tried English but unable",0,0,2,9,3
"3985",446,3,"two-year college","female","Somalia","seek better job","waiter","none","no plans to look for work","once w/o authorization","broken English",0,0,1,9,3
"3986",446,3,"two-year college","male","India","seek better job","gardener","1-2 years","will look for work","six months with family","fluent English",1,0,2,9,3
"3987",446,4,"graduate degree","male","India","seek better job","waiter","3-5 years","will look for work","never","fluent English",1,0,1,9,3
"3988",446,4,"high school","female","Mexico","seek better job","nurse","1-2 years","no plans to look for work","never","tried English but unable",0,0,2,9,3
"3989",446,5,"high school","male","Philippines","reunite with family","teacher","none","no plans to look for work","never","fluent English",1,0,1,9,3
"3990",446,5,"no formal","male","India","seek better job","janitor","5+ years","no plans to look for work","never","used interpreter",0,0,2,9,3
"3991",447,1,"high school","male","Iraq","seek better job","child care provider","3-5 years","interviews with employer","never","tried English but unable",0,76.666664,1,5,4
"3992",447,1,"college degree","female","France","seek better job","doctor","3-5 years","contract with employer","never","broken English",1,76.666664,2,5,4
"3993",447,2,"8th grade","male","Sudan","escape persecution","waiter","5+ years","interviews with employer","once w/o authorization","tried English but unable",1,76.666664,1,5,4
"3994",447,2,"8th grade","female","France","reunite with family","child care provider","none","no plans to look for work","six months with family","fluent English",0,76.666664,2,5,4
"3995",447,3,"graduate degree","male","Somalia","escape persecution","gardener","5+ years","interviews with employer","many times as tourist","broken English",1,76.666664,1,5,4
"3996",447,3,"no formal","female","Germany","reunite with family","nurse","none","interviews with employer","never","tried English but unable",0,76.666664,2,5,4
"3997",447,4,"8th grade","male","Germany","reunite with family","janitor","1-2 years","interviews with employer","once w/o authorization","used interpreter",1,76.666664,1,5,4
"3998",447,4,"college degree","male","France","reunite with family","janitor","none","no plans to look for work","once w/o authorization","used interpreter",0,76.666664,2,5,4
"3999",447,5,"8th grade","female","Somalia","seek better job","nurse","none","contract with employer","six months with family","broken English",1,76.666664,1,5,4
"4000",447,5,"no formal","male","France","reunite with family","waiter","3-5 years","will look for work","never","fluent English",0,76.666664,2,5,4
"4001",448,1,"graduate degree","male","Mexico","reunite with family","child care provider","3-5 years","no plans to look for work","many times as tourist","broken English",0,-10,1,3,2
"4002",448,1,"no formal","female","Sudan","escape persecution","child care provider","1-2 years","contract with employer","once w/o authorization","fluent English",1,-10,2,3,2
"4003",448,2,"two-year college","female","China","seek better job","teacher","3-5 years","contract with employer","six months with family","used interpreter",0,-10,1,3,2
"4004",448,2,"two-year college","female","China","seek better job","nurse","1-2 years","no plans to look for work","never","tried English but unable",1,-10,2,3,2
"4005",448,3,"high school","female","India","reunite with family","child care provider","none","will look for work","once w/o authorization","used interpreter",0,-10,1,3,2
"4006",448,3,"4th grade","male","France","seek better job","child care provider","1-2 years","interviews with employer","six months with family","fluent English",1,-10,2,3,2
"4007",448,4,"two-year college","female","India","reunite with family","doctor","3-5 years","no plans to look for work","once w/o authorization","tried English but unable",0,-10,1,3,2
"4008",448,4,"8th grade","female","Mexico","seek better job","child care provider","3-5 years","interviews with employer","once w/o authorization","broken English",1,-10,2,3,2
"4009",448,5,"4th grade","male","Germany","seek better job","janitor","3-5 years","contract with employer","six months with family","used interpreter",1,-10,1,3,2
"4010",448,5,"4th grade","male","Mexico","reunite with family","teacher","1-2 years","will look for work","six months with family","broken English",0,-10,2,3,2
"4011",449,1,"4th grade","female","Somalia","seek better job","child care provider","1-2 years","will look for work","never","tried English but unable",0,36.666668,1,6,9
"4012",449,1,"college degree","female","Germany","reunite with family","teacher","1-2 years","will look for work","many times as tourist","tried English but unable",1,36.666668,2,6,9
"4013",449,2,"two-year college","male","Somalia","seek better job","child care provider","none","will look for work","many times as tourist","fluent English",0,36.666668,1,6,9
"4014",449,2,"two-year college","male","Philippines","seek better job","teacher","5+ years","will look for work","once w/o authorization","fluent English",1,36.666668,2,6,9
"4015",449,3,"college degree","male","Sudan","escape persecution","nurse","none","will look for work","never","used interpreter",1,36.666668,1,6,9
"4016",449,3,"no formal","male","China","seek better job","child care provider","5+ years","contract with employer","many times as tourist","tried English but unable",0,36.666668,2,6,9
"4017",449,4,"college degree","female","Sudan","escape persecution","doctor","1-2 years","contract with employer","six months with family","tried English but unable",1,36.666668,1,6,9
"4018",449,4,"no formal","male","China","escape persecution","gardener","5+ years","no plans to look for work","once as tourist","broken English",0,36.666668,2,6,9
"4019",449,5,"8th grade","female","Mexico","seek better job","construction worker","1-2 years","contract with employer","six months with family","used interpreter",0,36.666668,1,6,9
"4020",449,5,"no formal","male","Poland","reunite with family","teacher","1-2 years","will look for work","once as tourist","used interpreter",1,36.666668,2,6,9
"4021",450,1,"no formal","male","France","seek better job","child care provider","none","will look for work","once as tourist","used interpreter",1,10,1,6,8
"4022",450,1,"high school","male","India","reunite with family","janitor","none","contract with employer","once w/o authorization","used interpreter",0,10,2,6,8
"4023",450,2,"8th grade","male","Iraq","reunite with family","teacher","5+ years","will look for work","once as tourist","tried English but unable",1,10,1,6,8
"4024",450,2,"two-year college","male","Sudan","reunite with family","nurse","1-2 years","no plans to look for work","once w/o authorization","tried English but unable",0,10,2,6,8
"4025",450,3,"8th grade","female","India","seek better job","gardener","5+ years","will look for work","many times as tourist","fluent English",0,10,1,6,8
"4026",450,3,"high school","female","China","seek better job","waiter","5+ years","contract with employer","six months with family","fluent English",1,10,2,6,8
"4027",450,4,"college degree","female","Mexico","seek better job","child care provider","5+ years","interviews with employer","many times as tourist","tried English but unable",1,10,1,6,8
"4028",450,4,"no formal","male","China","escape persecution","construction worker","3-5 years","no plans to look for work","never","broken English",0,10,2,6,8
"4029",450,5,"graduate degree","female","Iraq","seek better job","teacher","1-2 years","will look for work","once as tourist","broken English",1,10,1,6,8
"4030",450,5,"high school","male","Mexico","seek better job","gardener","1-2 years","no plans to look for work","once as tourist","broken English",0,10,2,6,8
"4031",451,1,"college degree","female","France","reunite with family","doctor","5+ years","will look for work","once w/o authorization","fluent English",1,-6,1,3,1
"4032",451,1,"two-year college","female","France","reunite with family","child care provider","3-5 years","interviews with employer","once w/o authorization","fluent English",0,-6,2,3,1
"4033",451,2,"two-year college","female","India","reunite with family","nurse","none","no plans to look for work","once w/o authorization","fluent English",0,-6,1,3,1
"4034",451,2,"high school","male","France","seek better job","child care provider","3-5 years","contract with employer","six months with family","fluent English",1,-6,2,3,1
"4035",451,3,"graduate degree","male","France","reunite with family","nurse","3-5 years","no plans to look for work","once w/o authorization","used interpreter",0,-6,1,3,1
"4036",451,3,"graduate degree","male","Iraq","escape persecution","construction worker","3-5 years","no plans to look for work","once as tourist","used interpreter",1,-6,2,3,1
"4037",451,4,"college degree","female","Somalia","reunite with family","gardener","none","will look for work","once w/o authorization","fluent English",1,-6,1,3,1
"4038",451,4,"college degree","female","Mexico","reunite with family","waiter","5+ years","no plans to look for work","never","fluent English",0,-6,2,3,1
"4039",451,5,"no formal","male","Mexico","reunite with family","teacher","1-2 years","interviews with employer","once as tourist","fluent English",1,-6,1,3,1
"4040",451,5,"high school","female","Poland","reunite with family","construction worker","5+ years","no plans to look for work","once as tourist","tried English but unable",0,-6,2,3,1
"4041",452,1,"college degree","female","Mexico","seek better job","doctor","5+ years","will look for work","many times as tourist","used interpreter",1,36.666668,1,7,2
"4042",452,1,"two-year college","male","India","reunite with family","gardener","3-5 years","will look for work","once as tourist","broken English",0,36.666668,2,7,2
"4043",452,2,"college degree","female","Somalia","seek better job","waiter","1-2 years","interviews with employer","once w/o authorization","broken English",0,36.666668,1,7,2
"4044",452,2,"graduate degree","female","Sudan","escape persecution","janitor","3-5 years","will look for work","once as tourist","tried English but unable",1,36.666668,2,7,2
"4045",452,3,"graduate degree","male","France","reunite with family","janitor","5+ years","no plans to look for work","six months with family","fluent English",1,36.666668,1,7,2
"4046",452,3,"two-year college","male","Philippines","reunite with family","teacher","3-5 years","no plans to look for work","once as tourist","used interpreter",0,36.666668,2,7,2
"4047",452,4,"8th grade","female","China","seek better job","nurse","5+ years","contract with employer","six months with family","fluent English",1,36.666668,1,7,2
"4048",452,4,"4th grade","male","Germany","reunite with family","construction worker","1-2 years","will look for work","six months with family","fluent English",0,36.666668,2,7,2
"4049",452,5,"graduate degree","male","Germany","reunite with family","teacher","3-5 years","interviews with employer","many times as tourist","tried English but unable",1,36.666668,1,7,2
"4050",452,5,"4th grade","female","Philippines","seek better job","gardener","1-2 years","interviews with employer","once as tourist","broken English",0,36.666668,2,7,2
"4051",453,1,"graduate degree","male","India","seek better job","waiter","5+ years","interviews with employer","many times as tourist","tried English but unable",1,58.333336,1,8,1
"4052",453,1,"graduate degree","female","Philippines","seek better job","financial analyst","3-5 years","interviews with employer","six months with family","tried English but unable",0,58.333336,2,8,1
"4053",453,2,"graduate degree","female","Germany","reunite with family","waiter","5+ years","interviews with employer","once w/o authorization","fluent English",1,58.333336,1,8,1
"4054",453,2,"two-year college","female","Germany","reunite with family","financial analyst","1-2 years","no plans to look for work","many times as tourist","used interpreter",0,58.333336,2,8,1
"4055",453,3,"graduate degree","female","Mexico","reunite with family","waiter","5+ years","will look for work","many times as tourist","broken English",1,58.333336,1,8,1
"4056",453,3,"no formal","male","Germany","reunite with family","janitor","3-5 years","no plans to look for work","once as tourist","used interpreter",0,58.333336,2,8,1
"4057",453,4,"4th grade","female","Germany","seek better job","gardener","3-5 years","interviews with employer","never","tried English but unable",1,58.333336,1,8,1
"4058",453,4,"no formal","female","India","seek better job","janitor","1-2 years","contract with employer","never","used interpreter",0,58.333336,2,8,1
"4059",453,5,"8th grade","male","France","reunite with family","gardener","1-2 years","will look for work","many times as tourist","fluent English",0,58.333336,1,8,1
"4060",453,5,"8th grade","female","China","seek better job","nurse","3-5 years","no plans to look for work","once w/o authorization","fluent English",1,58.333336,2,8,1
"4061",454,1,"two-year college","female","Somalia","escape persecution","waiter","5+ years","will look for work","never","broken English",1,0,1,2,9
"4062",454,1,"high school","female","Germany","seek better job","waiter","none","contract with employer","once w/o authorization","fluent English",0,0,2,2,9
"4063",454,2,"no formal","male","Somalia","reunite with family","child care provider","none","will look for work","many times as tourist","broken English",1,0,1,2,9
"4064",454,2,"college degree","female","France","reunite with family","construction worker","none","will look for work","never","broken English",0,0,2,2,9
"4065",454,3,"no formal","male","Iraq","reunite with family","gardener","none","contract with employer","many times as tourist","used interpreter",1,0,1,2,9
"4066",454,3,"high school","female","France","seek better job","child care provider","1-2 years","interviews with employer","once w/o authorization","fluent English",0,0,2,2,9
"4067",454,4,"graduate degree","male","Iraq","reunite with family","teacher","5+ years","interviews with employer","many times as tourist","used interpreter",1,0,1,2,9
"4068",454,4,"high school","female","Philippines","reunite with family","gardener","none","interviews with employer","six months with family","broken English",0,0,2,2,9
"4069",454,5,"college degree","male","Somalia","reunite with family","gardener","5+ years","no plans to look for work","six months with family","used interpreter",0,0,1,2,9
"4070",454,5,"8th grade","female","Poland","reunite with family","child care provider","5+ years","contract with employer","many times as tourist","fluent English",1,0,2,2,9
"4071",455,1,"high school","male","Poland","reunite with family","janitor","3-5 years","interviews with employer","once as tourist","tried English but unable",1,46.666668,1,1,9
